Date,Ticker,Metric,Value
2023-06-29,SMCI,rolling_ret_21d,-0.8066526796210138
2023-06-29,SMCI,rolling_sharpe_21d,-1.9380746654794667
2023-06-30,SMCI,rolling_vol_21d,0.47634446234088473
2023-06-30,SMCI,rolling_ret_21d,-0.47404269747264527
2023-06-30,SMCI,rolling_sharpe_21d,-1.1001339133814185
2023-07-01,SMCI,rolling_vol_21d,0.47634446234088473
2023-07-01,SMCI,rolling_ret_21d,-0.47404269747264527
2023-07-01,SMCI,rolling_sharpe_21d,-1.1001339133814185
2023-07-02,SMCI,rolling_vol_21d,0.47634446234088473
2023-07-02,SMCI,rolling_ret_21d,-0.47404269747264527
2023-07-02,SMCI,rolling_sharpe_21d,-1.1001339133814185
2023-07-03,SMCI,rolling_vol_21d,0.4750750965919937
2023-07-03,SMCI,rolling_ret_21d,-0.3384081855902883
2023-07-03,SMCI,rolling_sharpe_21d,-0.8175721867481152
2023-07-04,SMCI,rolling_vol_21d,0.43198456540978075
2023-07-04,SMCI,rolling_ret_21d,0.33014004561017485
2023-07-04,SMCI,rolling_sharpe_21d,0.6484954973898984
2023-07-05,SMCI,rolling_vol_21d,0.4364243063280624
2023-07-05,SMCI,rolling_ret_21d,0.4359978209531117
2023-07-05,SMCI,rolling_sharpe_21d,0.8844553691355477
2023-07-06,SMCI,rolling_vol_21d,0.4374700901611553
2023-07-06,SMCI,rolling_ret_21d,0.41210813198635154
2023-07-06,SMCI,rolling_sharpe_21d,0.8277323184608076
2023-07-07,SMCI,rolling_vol_21d,0.40493031658292056
2023-07-07,SMCI,rolling_ret_21d,1.513118908785322
2023-07-07,SMCI,rolling_sharpe_21d,3.613260970756949
2023-07-08,SMCI,rolling_vol_21d,0.40493031658292056
2023-07-08,SMCI,rolling_ret_21d,1.513118908785322
2023-07-08,SMCI,rolling_sharpe_21d,3.613260970756949
2023-07-09,SMCI,rolling_vol_21d,0.40493031658292056
2023-07-09,SMCI,rolling_ret_21d,1.513118908785322
2023-07-09,SMCI,rolling_sharpe_21d,3.613260970756949
2023-07-10,SMCI,rolling_vol_21d,0.4191215823275312
2023-07-10,SMCI,rolling_ret_21d,1.97094745384128
2023-07-10,SMCI,rolling_sharpe_21d,4.583270188983291
2023-07-11,SMCI,rolling_vol_21d,0.38782954043744416
2023-07-11,SMCI,rolling_ret_21d,2.451531092513758
2023-07-11,SMCI,rolling_sharpe_21d,6.192233551381883
2023-07-12,SMCI,rolling_vol_21d,0.38193462673391654
2023-07-12,SMCI,rolling_ret_21d,2.8378858249300754
2023-07-12,SMCI,rolling_sharpe_21d,7.299379605275538
2023-07-13,SMCI,rolling_vol_21d,0.41777245511948513
2023-07-13,SMCI,rolling_ret_21d,3.2356722018113677
2023-07-13,SMCI,rolling_sharpe_21d,7.625376356850165
2023-07-14,SMCI,rolling_vol_21d,0.36106470661003076
2023-07-14,SMCI,rolling_ret_21d,3.8410393857470257
2023-07-14,SMCI,rolling_sharpe_21d,10.499612164646022
2023-07-15,SMCI,rolling_vol_21d,0.36106470661003076
2023-07-15,SMCI,rolling_ret_21d,3.8410393857470257
2023-07-15,SMCI,rolling_sharpe_21d,10.499612164646022
2023-07-16,SMCI,rolling_vol_21d,0.36106470661003076
2023-07-16,SMCI,rolling_ret_21d,3.8410393857470257
2023-07-16,SMCI,rolling_sharpe_21d,10.499612164646022
2023-07-17,SMCI,rolling_vol_21d,0.3586025087611145
2023-07-17,SMCI,rolling_ret_21d,4.08757471349329
2023-07-17,SMCI,rolling_sharpe_21d,11.259192601418604
2023-07-18,SMCI,rolling_vol_21d,0.3693986005401906
2023-07-18,SMCI,rolling_ret_21d,4.201154520149345
2023-07-18,SMCI,rolling_sharpe_21d,11.237602183871022
2023-07-19,SMCI,rolling_vol_21d,0.41556211879962196
2023-07-19,SMCI,rolling_ret_21d,3.1276326296249626
2023-07-19,SMCI,rolling_sharpe_21d,7.405950856432496
2023-07-20,SMCI,rolling_vol_21d,0.4165185888832135
2023-07-20,SMCI,rolling_ret_21d,3.099689295548338
2023-07-20,SMCI,rolling_sharpe_21d,7.321856399555393
2023-07-21,SMCI,rolling_vol_21d,0.3856927367810274
2023-07-21,SMCI,rolling_ret_21d,2.4301223091588944
2023-07-21,SMCI,rolling_sharpe_21d,6.171032228979158
2023-07-22,SMCI,rolling_vol_21d,0.3856927367810274
2023-07-22,SMCI,rolling_ret_21d,2.4301223091588944
2023-07-22,SMCI,rolling_sharpe_21d,6.171032228979158
2023-07-23,SMCI,rolling_vol_21d,0.3856927367810274
2023-07-23,SMCI,rolling_ret_21d,2.4301223091588944
2023-07-23,SMCI,rolling_sharpe_21d,6.171032228979158
2023-07-24,SMCI,rolling_vol_21d,0.38570763159616706
2023-07-24,SMCI,rolling_ret_21d,2.678744275999544
2023-07-24,SMCI,rolling_sharpe_21d,6.815380512750184
2023-07-25,SMCI,rolling_vol_21d,0.3954638947163543
2023-07-25,SMCI,rolling_ret_21d,3.1434305739599147
